date,conservation_storage,percent_full
10/6/2009,114918,91.4
10/13/2009,124770,99.2
10/20/2009,124770,99.2
10/27/2009,124619,99.1
11/3/2009,124392,98.9
11/10/2009,124166,98.7
11/17/2009,124090,98.7
11/24/2009,124015,98.6
12/1/2009,124543,99
12/8/2009,123864,98.5
12/15/2009,124241,98.8
12/22/2009,123864,98.5
12/29/2009,124241,98.8
1/5/2010,124468,99
1/12/2010,124392,98.9
1/19/2010,124695,99.2
1/26/2010,124921,99.3
2/2/2010,125225,99.6
2/9/2010,125528,99.8
2/16/2010,125756,100
2/23/2010,124468,99
3/2/2010,124241,98.8
3/9/2010,125377,99.7
3/16/2010,125301,99.6
3/23/2010,122810,97.7
3/30/2010,124166,98.7
4/6/2010,124015,98.6
4/13/2010,124921,99.3
4/20/2010,123412,98.1
4/27/2010,123638,98.3
5/4/2010,123864,98.5
5/11/2010,123638,98.3
5/18/2010,123412,98.1
5/25/2010,125528,99.8
6/1/2010,124015,98.6
6/8/2010,124921,99.3
6/15/2010,124619,99.1
6/22/2010,124015,98.6
6/29/2010,125604,99.9
7/6/2010,125073,99.5
7/13/2010,124392,98.9
7/20/2010,124166,98.7
7/27/2010,124921,99.3
8/3/2010,124543,99
8/10/2010,125528,99.8
8/17/2010,125680,99.9
8/24/2010,125377,99.7
8/31/2010,125635,99.9
9/7/2010,125235,99.6
9/14/2010,125756,100
9/21/2010,125756,100
9/28/2010,123135,97.9
10/5/2010,124997,99.4
10/12/2010,125604,99.9
10/19/2010,124846,99.3
10/26/2010,124392,98.9
11/2/2010,124695,99.2
11/9/2010,124619,99.1
11/16/2010,124846,99.3
11/23/2010,123864,98.5
11/30/2010,122961,97.8
12/7/2010,121463,96.6
12/14/2010,120421,95.8
12/21/2010,119753,95.2
12/28/2010,119605,95.1
1/4/2011,119383,94.9
1/11/2011,120272,95.6
1/18/2011,120495,95.8
1/25/2011,121165,96.3
2/1/2011,122961,97.8
2/8/2011,122810,97.7
2/15/2011,124317,98.9
2/22/2011,125756,100
3/1/2011,125453,99.8
3/8/2011,124846,99.3
3/15/2011,124468,99
3/22/2011,124015,98.6
3/29/2011,124241,98.8
4/5/2011,123111,97.9
4/12/2011,122886,97.7
4/19/2011,121463,96.6
4/26/2011,123789,98.4
5/3/2011,124543,99
5/10/2011,123864,98.5
5/17/2011,124619,99.1
5/24/2011,124090,98.7
5/31/2011,121912,96.9
6/7/2011,119309,94.9
6/14/2011,115862,92.1
6/21/2011,112470,89.4
6/28/2011,110759,88.1
7/5/2011,110405,87.8
7/12/2011,108114,86
7/19/2011,106031,84.3
7/26/2011,105567,83.9
8/2/2011,103543,82.3
8/9/2011,100994,80.3
8/16/2011,100994,80.3
8/30/2011,100181,79.7
9/6/2011,94256,75
9/13/2011,89086,70.8
9/20/2011,88703,70.5
9/27/2011,83173,66.1
10/4/2011,83787,66.6
10/11/2011,103221,82.1
10/18/2011,108455,86.2
10/25/2011,104322,83
11/1/2011,98331,78.2
11/8/2011,94609,75.2
11/15/2011,92627,73.7
11/22/2011,91315,72.6
11/29/2011,89196,70.9
12/6/2011,88106,70.1
12/13/2011,89086,70.8
12/20/2011,91032,72.4
1/3/2012,89526,71.2
1/10/2012,88813,70.6
1/17/2012,94432,75.1
1/24/2012,94550,75.2
1/31/2012,125604,99.9
2/7/2012,124997,99.4
2/14/2012,125149,99.5
2/21/2012,125528,99.8
2/28/2012,125301,99.6
3/6/2012,124770,99.2
3/13/2012,124846,99.3
3/27/2012,125756,100
4/3/2012,125680,99.9
4/10/2012,124619,99.1
4/17/2012,125301,99.6
4/24/2012,124846,99.3
5/1/2012,123337,98.1
5/8/2012,123939,98.6
5/15/2012,122961,97.8
5/22/2012,121090,96.3
5/29/2012,118866,94.5
6/5/2012,117103,93.1
6/12/2012,115862,92.1
6/19/2012,122735,97.6
6/26/2012,121613,96.7
7/3/2012,118350,94.1
7/10/2012,116664,92.8
7/17/2012,114339,90.9
9/4/2012,100681,80.1
10/23/2012,95616,76
12/11/2012,90025,71.6
1/29/2013,92226,73.3
3/19/2013,89637,71.3
5/7/2013,85552,68
6/25/2013,81708,65
8/13/2013,80962,64.4
